iter	Passed	Remaining
705	53239	172989
706	53315	172917
707	53390	172841
708	53470	172779
709	53546	172705
710	53622	172633
711	53693	172543
712	53764	172454
713	53840	172380
714	53912	172292
715	53986	172212
716	54057	172125
717	54132	172048
718	54214	171994
719	54291	171921
720	54365	171844
721	54438	171759
722	54509	171671
723	54585	171596
724	54665	171537
725	54742	171465
726	54823	171406
727	54897	171329
728	54972	171250
729	55048	171178
730	55117	171083
731	55191	171003
732	55263	170916
733	55329	170814
734	55400	170724
735	55476	170651
736	55543	170549
737	55619	170474
738	55695	170402
739	55771	170327
740	55852	170272
741	55928	170198
742	56003	170121
743	56075	170034
744	56145	169943
745	56219	169865
746	56301	169807
747	56376	169733
748	56453	169662
749	56527	169582
750	56600	169501
751	56670	169409
752	56747	169337
753	56820	169254
754	56893	169174
755	56965	169088
756	57039	169010
757	57115	168934
758	57190	168858
759	57266	168784
760	57343	168714
761	57416	168631
762	57486	168542
763	57573	168500
764	57646	168417
765	57720	168340
766	57796	168265
767	57874	168197
768	57949	168121
769	58021	168036
770	58095	167956
771	58170	167879
772	58242	167796
773	58322	167733
774	58393	167645
775	58468	167570
776	58543	167492
777	58617	167412
778	58696	167348
779	58771	167273
780	58852	167212
781	58933	167153
782	59008	167077
783	59085	167006
784	59163	166938
785	59235	166855
786	59313	166787
787	59390	166715
788	59472	166658
789	59550	166591
790	59628	166522
791	59702	166443
792	59774	166358
793	59851	166288
794	59926	166211
795	59994	166115
796	60065	166027
797	60135	165938
798	60207	165853
799	60281	165774
800	60353	165690
801	60420	165590
802	60487	165491
803	60559	165408
804	60634	165331
805	60704	165243
806	60779	165167
807	60853	165088
808	60927	165009
809	61004	164938
810	61076	164853
811	61149	164770
812	61220	164686
813	61289	164592
814	61379	164557
815	61461	164500
816	61534	164418
817	61609	164343
818	61684	164265
819	61763	164201
820	61839	164126
821	61913	164047
822	61989	163974
823	62064	163898
824	62138	163820
825	62212	163739
826	62288	163666
827	62361	163585
828	62439	163516
829	62519	163454
830	62596	163383
831	62676	163319
832	62747	163233
833	62823	163160
834	62894	163072
835	62967	162992
836	63045	162924
837	63116	162837
838	63192	162764
839	63266	162684
840	63342	162611
841	63410	162517
842	63487	162447
843	63561	162367
844	63638	162298
845	63714	162222
846	63789	162146
847	63867	162078
848	63942	162001
849	64025	161946
850	64112	161901
851	64201	161860
852	64287	161810
853	64368	161749
854	64447	161684
855	64524	161613
856	64599	161537
857	64674	161459
858	64741	161364
859	64817	161289
860	64891	161211
861	64968	161139
862	65040	161056
863	65116	160982
864	65196	160918
865	65276	160854
866	65352	160779
867	65428	160707
868	65496	160614
869	65572	160539
870	65658	160490
871	65763	160486
872	65834	160401
873	65907	160319
874	65978	160232
875	66046	160141
876	66121	160063
877	66190	159972
878	66257	159877
879	66330	159796
880	66407	159725
881	66479	159640
882	66556	159570
883	66630	159491
884	66700	159403
885	66773	159321
886	66845	159237
887	66919	159160
888	66992	159078
889	67065	158998
890	67138	158916
891	67209	158830
892	67283	158752
893	67358	158676
894	67429	158592
895	67498	158501
896	67564	158403
897	67639	158328
898	67710	158241
899	67783	158160
900	67855	158079
901	67927	157994
902	67994	157901
903	68068	157823
904	68141	157742
905	68218	157671
906	68287	157581
907	68356	157490
908	68427	157405
909	68497	157318
910	68568	157233
911	68639	157149
912	68715	157075
913	68799	157019
914	68873	156941
915	68947	156864
916	69025	156793
917	69098	156712
918	69174	156640
919	69248	156560
920	69319	156477
921	69394	156400
922	69466	156318
923	69540	156239
924	69613	156158
925	69687	156081
926	69762	156007
927	69835	155926
928	69912	155853
929	69990	155786
930	70063	155704
931	70137	155627
932	70213	155553
933	70280	155459
934	70349	155370
935	70421	155287
936	70499	155218
937	70572	155138
938	70646	155061
939	70724	154992
940	70797	154910
941	70869	154829
942	70940	154746
943	71019	154678
944	71094	154602
945	71165	154518
946	71234	154428
947	71309	154353
948	71387	154283
949	71455	154192
950	71528	154113
951	71596	154022
952	71667	153939
953	71738	153855
954	71809	153770
955	71883	153692
956	71957	153614
957	72034	153542
958	72113	153477
959	72185	153394
960	72255	153308
961	72328	153228
962	72401	153148
963	72468	153056
964	72540	152973
965	72607	152880
966	72678	152798
967	72748	152711
968	72820	152630
969	72893	152550
970	72966	152470
971	73038	152388
972	73109	152305
973	73181	152224
974	73253	152142
975	73330	152069
976	73404	151993
977	73475	151910
978	73551	151835
979	73623	151755
980	73696	151674
981	73767	151592
982	73842	151515
983	73911	151428
984	73985	151351
985	74063	151280
986	74133	151196
987	74205	151114
988	74279	151038
989	74350	150953
990	74423	150875
991	74497	150798
992	74573	150723
993	74644	150640
994	74715	150556
995	74789	150480
996	74860	150396
997	74929	150308
998	75001	150229
999	75076	150152
1000	75142	150059
1001	75211	149972
1002	75284	149893
1003	75357	149814
1004	75417	149708
1005	75489	149628
1006	75553	149531
1007	75624	149447
1008	75685	149346
1009	75761	149272
1010	75833	149190
1011	75902	149105
1012	75973	149021
1013	76040	148932
1014	76110	148847
1015	76180	148761
1016	76254	148684
1017	76326	148603
1018	76400	148527
1019	76473	148448
1020	76551	148380
1021	76664	148378
1022	76771	148365
1023	76889	148373
1024	76971	148311
1025	77056	148255
1026	77176	148265
1027	77257	148202
1028	77336	148133
1029	77418	148071
1030	77499	148008
1031	77570	147925
1032	77652	147862
1033	77728	147790
1034	77802	147711
1035	77885	147652
1036	77967	147589
1037	78044	147517
1038	78124	147452
1039	78204	147385
1040	78284	147318
1041	78362	147248
1042	78444	147187
1043	78519	147111
1044	78601	147049
1045	78683	146986
1046	78761	146916
1047	78833	146834
1048	78909	146762
1049	78985	146687
1050	79068	146626
1051	79185	146628
1052	79280	146590
1053	79377	146554
1054	79463	146499
1055	79554	146452
1056	79629	146376
1057	79703	146299
1058	79779	146224
1059	79859	146157
1060	79940	146092
1061	80023	146031
1062	80104	145967
1063	80182	145895
1064	80262	145828
1065	80340	145758
1066	80419	145690
1067	80492	145610
1068	80582	145561
1069	80665	145499
1070	80747	145436
1071	80823	145362
1072	80901	145291
1073	80980	145221
1074	81057	145148
1075	81134	145077
1076	81212	145006
1077	81290	144935
1078	81388	144899
1079	81466	144829
1080	81546	144762
1081	81625	144693
1082	81706	144627
1083	81789	144565
1084	81872	144503
1085	81951	144434
1086	82029	144363
1087	82108	144293
1088	82183	144217
1089	82263	144150
1090	82343	144082
1091	82423	144014
1092	82502	143945
1093	82583	143878
1094	82660	143806
1095	82739	143737
1096	82805	143645
1097	82892	143588
1098	82971	143520
1099	83049	143449
1100	83125	143374
1101	83194	143288
1102	83275	143222
1103	83351	143146
1104	83430	143077
1105	83513	143015
1106	83590	142941
1107	83663	142862
1108	83742	142792
1109	83814	142710
1110	83886	142629
1111	83963	142557
1112	84039	142482
1113	84110	142398
1114	84181	142316
1115	84254	142235
1116	84326	142155
1117	84402	142079
1118	84476	142002
1119	84547	141919
1120	84622	141842
1121	84696	141765
1122	84769	141684
1123	84844	141607
1124	84915	141526
1125	84986	141442
1126	85058	141361
1127	85126	141274
1128	85201	141197
1129	85278	141123
1130	85357	141054
1131	85432	140978
1132	85510	140906
1133	85583	140828
1134	85668	140767
1135	85802	140787
1136	85886	140727
1137	85957	140644
1138	86034	140571
1139	86111	140497
1140	86190	140427
1141	86266	140352
1142	86337	140270
1143	86417	140201
1144	86488	140118
1145	86561	140039
1146	86638	139966
1147	86718	139897
1148	86795	139824
1149	86867	139743
1150	86946	139673
1151	87027	139605
1152	87101	139528
1153	87174	139449
1154	87245	139365
1155	87319	139287
1156	87396	139215
1157	87468	139133
1158	87543	139056
1159	87613	138973
1160	87684	138890
1161	87754	138805
1162	87827	138727
1163	87900	138647
1164	87972	138565
1165	88039	138477
1166	88113	138400
1167	88189	138324
1168	88254	138232
1169	88328	138154
1170	88402	138077
1171	88477	138000
1172	88554	137927
1173	88629	137851
1174	88706	137777
1175	88781	137701
1176	88853	137620
1177	88926	137541
1178	88996	137457
1179	89067	137375
1180	89142	137299
1181	89216	137220
1182	89292	137146
1183	89368	137071
1184	89441	136992
1185	89509	136905
1186	89580	136824
1187	89653	136744
1188	89720	136656
1189	89799	136585
1190	89875	136510
1191	89950	136434
1192	90024	136357
1193	90096	136276
1194	90167	136194
1195	90237	136110
1196	90316	136040
1197	90390	135962
1198	90458	135876
1199	90532	135798
1200	90603	135716
1201	90676	135637
1202	90751	135561
1203	90827	135487
1204	90905	135414
1205	90975	135332
1206	91052	135258
1207	91123	135176
1208	91199	135102
1209	91272	135022
1210	91346	134945
1211	91421	134868
1212	91492	134787
1213	91563	134705
1214	91638	134628
1215	91709	134547
1216	91786	134474
1217	91857	134392
1218	91942	134330
1219	92010	134245
1220	92086	134169
1221	92161	134094
1222	92235	134016
1223	92303	133930
1224	92376	133851
1225	92448	133771
1226	92523	133694
1227	92593	133612
1228	92666	133533
1229	92742	133459
1230	92816	133380
1231	92893	133308
1232	92966	133229
1233	93041	133154
1234	93115	133075
1235	93190	132999
1236	93267	132926
1237	93338	132845
1238	93415	132772
1239	93489	132695
1240	93560	132612
1241	93628	132527
1242	93703	132450
1243	93778	132375
1244	93851	132297
1245	93923	132216
1246	93999	132142
1247	94077	132069
1248	94149	131990
1249	94224	131914
1250	94308	131851
1251	94383	131775
1252	94454	131693
1253	94539	131631
1254	94612	131553
1255	94678	131464
1256	94751	131385
1257	94821	131302
1258	94894	131223
1259	94962	131138
1260	95037	131063
1261	95116	130992
1262	95191	130916
1263	95264	130838
1264	95341	130764
1265	95416	130689
1266	95483	130602
1267	95556	130523
1268	95629	130444
1269	95709	130375
1270	95784	130300
1271	95855	130218
1272	95928	130140
1273	95999	130058
1274	96076	129985
1275	96148	129905
1276	96217	129822
1277	96300	129756
1278	96371	129675
1279	96446	129600
1280	96522	129525
1281	96588	129437
1282	96660	129358
1283	96732	129278
1284	96803	129197
1285	96875	129117
1286	96947	129037
1287	97021	128960
1288	97089	128874
1289	97161	128795
1290	97235	128718
1291	97309	128641
